,customer_id,customer_name,customer_type,province,city,registration_date,monthly_shipping_budget
0,C000001,Sipho Adams,Business,Gauteng,Centurion,2024-10-13,3530.2
1,C000002,Amanda Maseko,Business,Gauteng,Johannesburg,2022-01-26,1555.5
2,C000003,Karabo Mkhize,Individual,Limpopo,Polokwane,2019-03-04,13767.67
3,C000004,Bongani Sithole,Individual,Kwazulu-Natal,Richards Bay,2021-06-30,10034.4
4,C000005,Bongani Dlamini,Business,Eastern Cape,East London,2026-03-28,7054.38
5,C000006,Nokuthula Naidoo,Individual,Gauteng,Pretoria,2024-07-06,93718.97
6,C000007,Sipho Maseko,Business,Gauteng,Pretoria,2018-09-30,3463.71
7,C000008,Lindelwa Khumalo,Business,Eastern Cape,Gqeberha,2024-04-16,7944.8
8,C000009,Mpho Molefe,Individual,Gauteng,Centurion,2025-02-19,5203.1
9,C000010,Sipho Mabena,Individual,Kwazulu-Natal,Umhlanga,2024-05-11,345522.67
10,C000011,Busisiwe Mabena,Individual,Kwazulu-Natal,Durban,2019-04-12,5916.17
11,C000012,Dumisani Ngcobo,Business,Western Cape,Paarl,2025-06-20,88861.75
12,C000013,Siyabonga Khumalo,Individual,Kwazulu-Natal,Newcastle,2023-01-22,9095.78
13,C000014,Amanda Cele,Individual,Limpopo,Polokwane,2024-02-01,14944.89
14,C000015,Lindelwa Mabena,Individual,Kwazulu-Natal,Unknown,2023-07-27,5706.18
15,C000016,Amanda Mokoena,Individual,Gauteng,Johannesburg,2022-05-11,7996.26
16,C000017,Themba Naidoo,Individual,Limpopo,Polokwane,2019-03-17,26777.03
17,C000018,Nomsa Van Wyk,Business,Kwazulu-Natal,Pietermaritzburg,2023-08-17,28123.02
18,C000019,Mandla Mthembu,Individual,Gauteng,Midrand,2018-06-18,4387.4
19,C000020,Precious Ndlovu,Individual,Western Cape,Paarl,2025-12-26,2486.54
20,C000021,Themba Mkhize,Individual,Gauteng,Johannesburg,2023-07-11,6905.8
21,C000022,Zanele Williams,Individual,Gauteng,Midrand,2023-04-09,46752.91
22,C000023,Ayanda Mthembu,Business,Gauteng,Pretoria,2024-08-03,82751.88
23,C000024,Phumzile Modise,Individual,Gauteng,Centurion,2020-07-02,2456.96
24,C000025,Amanda Cele,Individual,Eastern Cape,Grahamstown,2022-08-09,41403.66
25,C000026,Karabo Mthembu,Individual,Gauteng,Pretoria,2021-08-19,2326.6
26,C000027,Bongani Ngcobo,Business,Eastern Cape,Grahamstown,2026-01-22,12463.59
27,C000028,Mandla Ngcobo,Business,Gauteng,Midrand,2023-06-24,3635.92
28,C000029,Busisiwe Sithole,Enterprise,North West,Klerksdorp,2021-08-06,4057.02
29,C000030,Precious Naidoo,Individual,Kwazulu-Natal,Durban,2024-09-09,10768.95
30,C000031,Precious Molefe,Individual,Gauteng,Pretoria,2020-03-11,66569.36
