driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
0,D000001,Dumisani Molefe,47,34,Code 10,Contract,North West,3.51
1,D000002,Mpho Modise,59,25,Code 10,Contract,Western Cape,3.28
2,D000003,Themba Naidoo,37,6,Code 14,Permanent,Free State,4.59
3,D000004,Tshepo Dlamini,38,23,Code 8,Contract,Western Cape,4.31
4,D000005,Nokuthula Ndlovu,50,3,Code 8,Owner Driver,Mpumalanga,3.8
5,D000006,Lerato Moyo,46,22,Code 8,Contract,Gauteng,4.6
6,D000007,Siyabonga Khumalo,45,9,Code 14,Contract,Limpopo,3.36
7,D000008,Lwazi Botha,52,20,Code 8,Permanent,Northern Cape,4.96
8,D000009,Thabo Mthembu,37,12,Code 8,Contract,Limpopo,3.71
9,D000010,Zanele Jacobs,41,21,Code 8,Permanent,Eastern Cape,3.14
10,D000011,Siyabonga Naidoo,63,13,Code 10,Permanent,North West,4.66
11,D000012,Themba Mokoena,55,9,Code 8,Permanent,Free State,4.93
12,D000013,Sipho Naidoo,24,30,Code 8,Permanent,Eastern Cape,4.45
13,D000014,Lerato Mkhize,40,15,Code 10,Permanent,Mpumalanga,3.24
14,D000015,Sibusiso Dlamini,31,6,Code 10,Permanent,KwaZulu-Natal,4.3
15,D000016,Lindelwa Botha,26,17,Code 10,Owner Driver,Western Cape,3.89
16,D000017,Kabelo Modise,46,21,Code 8,Permanent,Free State,3.46
17,D000018,Phumzile Naidoo,59,25,Code 14,Permanent,Limpopo,3.67
18,D000019,Lerato Mabena,60,26,Code 14,Permanent,North West,3.73
19,D000020,Karabo Modise,39,4,Code 14,Contract,Free State,4.17
20,D000021,Busisiwe Modise,23,3,Code 8,Permanent,Western Cape,4.1
21,D000022,Thabo Williams,53,27,Code 8,Permanent,Western Cape,3.4
22,D000023,Sibusiso Jacobs,40,23,Code 14,Owner Driver,Northern Cape,4.22
23,D000024,Precious Nkosi,63,2,Code 8,Owner Driver,Western Cape,3.97
24,D000025,Precious Mthembu,57,16,Code 8,Permanent,Gauteng,3.1
25,D000026,Nokuthula Nkosi,57,33,Code 10,Permanent,Western Cape,3.94
26,D000027,Amanda Botha,29,24,Code 10,Permanent,Eastern Cape,3.76
27,D000028,Nomsa Molefe,61,30,Code 10,Owner Driver,KwaZulu-Natal,4.89
28,D000029,Dumisani Jacobs,48,9,Code 10,Permanent,Gauteng,4.21
29,D000030,Sipho Adams,56,25,Code 10,Owner Driver,Mpumalanga,2.67
30,D000031,Lwazi Moyo,48,24,Code 10,Permanent,Eastern Cape,4.79
31,D000032,Nokuthula Dlamini,52,19,Code 8,Permanent,Limpopo,3.12
32,D000033,Bongani Mkhize,56,5,Code 14,Contract,Northern Cape,3.93
33,D000034,Lindelwa Pillay,37,28,Code 8,Permanent,North West,4.15
34,D000035,Mpho Naidoo,61,9,Code 10,Permanent,Mpumalanga,3.75
35,D000036,Kagiso Maseko,23,9,Code 14,Owner Driver,Limpopo,3.46
36,D000037,Lwazi Mokoena,33,25,Code 10,Contract,North West,3.92
37,D000038,Mpho Sithole,54,26,Code 8,Permanent,Gauteng,3.01
38,D000039,Sipho Zulu,32,27,Code 10,Owner Driver,Mpumalanga,4.67
39,D000040,Siyabonga Moyo,65,8,Code 8,Permanent,Northern Cape,3.13
40,D000041,Phumzile Mkhize,45,19,Code 10,Permanent,Limpopo,4.95
41,D000042,Sibusiso Botha,32,14,Code 14,Owner Driver,Western Cape,4.29
42,D000043,Nokuthula Naidoo,24,11,Code 10,Permanent,Northern Cape,3.35
