customer_id,customer_name,customer_type,province,city,registration_date,monthly_shipping_budget
C000001,Sipho Adams,Business,Gauteng,Centurion,2024-10-13,3530.2
C000002,Amanda Maseko,Business,Gauteng,Johannesburg,2022-01-26,1555.5
C000003,Karabo Mkhize,Individual,Limpopo,Polokwane,2019-03-04,13767.67
C000004,Bongani Sithole,Individual,KwaZulu-Natal,Richards Bay,2021-06-30,10034.4
C000005,Bongani Dlamini,Business,Eastern Cape,East London,2026-03-28,7054.38
C000006,Nokuthula Naidoo,Individual,Gauteng,Pretoria,2024-07-06,93718.97
C000007,Sipho Maseko,Business,Gauteng,Pretoria,2018-09-30,3463.71
C000008,Lindelwa Khumalo,Business,Eastern Cape,Gqeberha,2024-04-16,7944.8
C000009,Mpho Molefe,Individual,Gauteng,Centurion,2025-02-19,5203.1
C000010,Sipho Mabena,Individual,KwaZulu-Natal,Umhlanga,2024-05-11,345522.67
C000011,Busisiwe Mabena,Individual,KwaZulu-Natal,Durban,2019-04-12,5916.17
C000012,Dumisani Ngcobo,Business,Western Cape,Paarl,2025-06-20,88861.75
C000013,Siyabonga Khumalo,Individual,KwaZulu-Natal,Newcastle,2023-01-22,9095.78
C000014,Amanda Cele,Individual,Limpopo,Polokwane,2024-02-01,
C000015,Lindelwa Mabena,Individual,KwaZulu-Natal,,2023-07-27,5706.18
C000016,Amanda Mokoena,Individual,Gauteng,Johannesburg,2022-05-11,7996.26
C000017,Themba Naidoo,Individual,Limpopo,Polokwane,2019-03-17,26777.03
C000018,Nomsa Van Wyk,Business,KwaZulu-Natal,Pietermaritzburg,2023-08-17,28123.02
C000019,Mandla Mthembu,Individual,Gauteng,Midrand,2018-06-18,4387.4
C000020,Precious Ndlovu,Individual,Western Cape,Paarl,2025-12-26,2486.54
C000021,Themba Mkhize,Individual,Gauteng,Johannesburg,2023-07-11,6905.8
C000022,Zanele Williams,Individual,Gauteng,Midrand,2023-04-09,46752.91
C000023,Ayanda Mthembu,Business,Gauteng,Pretoria,2024-08-03,82751.88
C000024,Phumzile Modise,Individual,Gauteng,Centurion,2020-07-02,2456.96
C000025,Amanda Cele,Individual,Eastern Cape,Grahamstown,2022-08-09,41403.66
C000026,Karabo Mthembu,Individual,Gauteng,Pretoria,2021-08-19,2326.6
C000027,Bongani Ngcobo,Business,Eastern Cape,Grahamstown,2026-01-22,12463.59
C000028,Mandla Ngcobo,Business,Gauteng,Midrand,2023-06-24,3635.92
