driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
D00001,Karabo Mkhize,56,9.0,Code 8,Contract,Gauteng,3.77
D00002,Nomsa Mkhize,30,27.0,Code 8,Contract,KwaZulu-Natal,5.0
D00003,Karabo Molefe,60,17.0,Code 10,Permanent,Northern Cape,3.96
D00004,Thabo Cele,39,20.0,Code 10,Permanent,Limpopo,4.06
D00005,Tshepo Mthembu,42,20.0,Code 14,Contract,KwaZulu-Natal,3.51
D00006,Tshepo Pillay,45,9.0,Code 8,Contract,North West,
D00007,Tshepo Williams,54,19.0,Code 8,Contract,Mpumalanga,3.77
D00008,Busisiwe Modise,26,6.0,Code 10,Contract,Western Cape,2.52
D00009,Zanele Zulu,44,19.0,Code 10,Contract,KwaZulu-Natal,3.55
D00010,Kagiso Nkosi,56,21.0,Code 14,Permanent,North West,2.97
D00011,Mpho Mkhize,45,27.0,Code 14,Permanent,Eastern Cape,3.88
D00012,Tshepo Jacobs,33,28.0,Code 10,Contract,Western Cape,3.16
D00013,Precious Moyo,23,0.0,Code 14,Permanent,Limpopo,4.13
D00014,Zanele Dlamini,45,9.0,Code 8,Permanent,Northern Cape,3.83
D00015,Bongani Molefe,51,16.0,Code 10,Permanent,Limpopo,2.93
D00016,Precious Nkosi,45,9.0,Code 14,Permanent,Northern Cape,3.46
D00017,Thabo Nkosi,64,19.0,Code 10,Contract,Gauteng,4.23
D00018,Sipho Cele,47,26.0,Code 14,Contract,Mpumalanga,4.6
D00019,Ayanda Van Wyk,43,7.0,Code 8,Permanent,Limpopo,3.17
D00020,Sipho Dlamini,23,27.0,Code 8,Permanent,Northern Cape,3.03
D00021,Sibusiso Botha,45,27.0,Code 10,Permanent,Free State,5.0
D00022,Busisiwe Naidoo,28,28.0,Code 14,Contract,North West,3.79
D00023,Busisiwe Naidoo,52,2.0,Code 8,Permanent,Gauteng,3.86
D00024,Zanele Jacobs,28,9.0,Code 14,Permanent,Western Cape,3.28
D00025,Siyabonga Mthembu,60,3.0,Code 8,Permanent,Mpumalanga,3.95
D00026,Precious Adams,34,3.0,Code 10,Permanent,Western Cape,5.0
D00027,Lerato Molefe,40,1.0,Code 10,Permanent,North West,3.98
D00028,Tshepo Mabena,27,13.0,Code 8,Permanent,Western Cape,4.55
D00029,Precious Jacobs,30,2.0,Code 10,Permanent,Mpumalanga,3.82
D00030,Themba Naidoo,61,9.0,Code 10,Permanent,Free State,3.08
D00031,Precious Zulu,33,30.0,Code 10,Permanent,Limpopo,3.32
D00032,Precious Sithole,43,27.0,Code 8 ,Permanent,Limpopo,3.02
D00033,Lerato Cele,64,29.0,Code 8,Permanent,Eastern Cape,3.95
D00034,Precious Dlamini,48,1.0,Code 14,Contract,Free State,4.66
D00035,Tshepo Adams,22,20.0,Code 10,Permanent,Free State,3.91
D00036,Lwazi Mthembu,36,19.0,Code 14,Contract,Mpumalanga,3.58
D00037,Themba Cele,38,4.0,CODE 10,Permanent,Mpumalanga,3.25
D00038,Thabo Pillay,33,28.0,Code 14,Contract,Free State,4.05
D00039,Lwazi Ndlovu,31,12.0,Code 8,Permanent,Eastern Cape,2.93
D00040,Sibusiso Moyo,43,30.0,Code 10,Permanent,Western Cape,3.01
D00041,Mandla Sithole,37,3.0,Code 10,Permanent,North West,4.43
D00042,Ayanda Dlamini,33,20.0,Code 8,Permanent,KwaZulu-Natal,3.61
D00043,Mpho Pillay,39,4.0,Code 8,Permanent,Eastern Cape,3.59
D00044,Sibusiso Mkhize,36,29.0,Code 10,Contract,Northern Cape,3.68
D00045,Mandla Pillay,31,18.0,Code 14,Permanent,North West,4.31
D00046,Siyabonga Williams,40,2.0,Code 10,Contract,Eastern Cape,3.92
D00047,Thabo Cele,62,6.0,Code 8,Permanent,Free State,3.28
D00048,Ayanda Botha,43,11.0,Code 14,Permanent,KwaZulu-Natal,3.31
D00049,Karabo Mahlangu,47,0.0,Code 8,Contract,Limpopo,3.66
D00050,Lerato Mkhize,64,0.0,Code 8,Permanent,Gauteng,4.01
D00051,Siyabonga Khumalo,47,28.0,code 14,Permanent,Northern Cape,3.78
D00052,Mpho Naidoo,30,30.0,Code 14,Permanent,Northern Cape,3.71
D00053,Amanda Nkosi,38,16.0,Code 14,Contract,KwaZulu-Natal,3.83
D00054,Mpho Jacobs,42,27.0,Code 14,Permanent,KwaZulu-Natal,3.77
D00055,Sibusiso Botha,41,20.0,Code 10,Permanent,Free State,3.25
D00056,Busisiwe Van Wyk,27,0.0,Code 8,Permanent,Limpopo,4.57
D00057,Sipho Modise,25,22.0,Code 8,Permanent,Limpopo,3.46
D00058,Precious Mthembu,36,0.0,Code 14,Permanent,Western Cape,3.89
D00059,Bongani Khumalo,61,25.0,Code 14,Permanent,Mpumalanga,2.36
D00060,Tshepo Modise,52,11.0,Code 10,Contract,Western Cape,3.65
D00061,Mandla Sithole,58,4.0,Code 10,Permanent,Eastern Cape,3.03
D00062,Busisiwe Dlamini,28,8.0,Code 8,Permanent,Mpumalanga,3.11
D00063,Sibusiso Nkosi,39,21.0,Code 8,Contract,North West,5.0
D00064,Sibusiso Van Wyk,46,26.0,Code 14,Contract,Limpopo,3.97
D00065,Sibusiso Mahlangu,40,17.0,Code 8,Permanent,Gauteng,4.66
D00066,Karabo Ndlovu,39,4.0,Code 10,Permanent,Mpumalanga,4.4
D00067,Lwazi Adams,36,27.0,Code 14,Permanent,Western Cape,4.49
D00068,Nomsa Mokoena,23,24.0,Code 10,Contract,KwaZulu-Natal,3.66
D00069,Lwazi Mahlangu,58,12.0,Code 10,Permanent,Gauteng,4.92
D00070,Thabo Dlamini,62,17.0,Code 8,Permanent,Northern Cape,4.39
D00071,Sipho Naidoo,24,29.0,CODE 8,Permanent,Eastern Cape,3.83
D00072,Lerato Ngcobo,39,11.0,Code 8,Permanent,Limpopo,3.98
D00073,Tshepo Van Wyk,43,0.0,Code 8,Permanent,North West,3.7
D00074,Kagiso Mahlangu,55,4.0,Code 8,Contract,Northern Cape,3.84
D00075,Busisiwe Mokoena,64,18.0,Code 8,Permanent,Northern Cape,3.77
D00076,Zanele Khumalo,39,30.0,Code 8,Permanent,Gauteng,4.07
D00077,Kagiso Mokoena,53,22.0,Code 8,Contract,Eastern Cape,5.0
D00078,Nomsa Ngcobo,62,19.0,Code 14,Permanent,Eastern Cape,2.96
D00079,Amanda Mthembu,57,10.0,Code 8,Permanent,North West,4.6
D00080,Bongani Sithole,33,13.0,Code 10,Permanent,Eastern Cape,3.54
D00081,Amanda Van Wyk,56,1.0,Code 14,Contract,KwaZulu-Natal,4.69
D00082,Nomsa Williams,39,11.0,Code 8,Permanent,Mpumalanga,3.57
D00083,Zanele Pillay,21,19.0,Code 10,Contract,Free State,4.09
D00084,Busisiwe Maseko,54,28.0,Code 14,Permanent,Mpumalanga,3.69
D00085,Zanele Williams,57,28.0,Code 10,Permanent,Eastern Cape,2.59
D00086,Sibusiso Pillay,36,25.0,Code 8,Permanent,Free State,5.0
D00087,Nomsa Van Wyk,40,0.0,Code 10,Permanent,Western Cape,3.14
D00088,Nandi Mthembu,37,25.0,Code 10,Permanent,Western Cape,3.86
D00089,Ayanda Botha,26,6.0,Code 10,Contract,Western Cape,3.06
D00090,Lwazi Zulu,64,19.0,Code 8,Permanent,Gauteng,2.86
D00091,Busisiwe Adams,21,29.0,Code 8,Permanent,Eastern Cape,3.66
D00092,Themba Maseko,45,27.0,Code 14,Contract,Western Cape,3.38
D00093,Themba Cele,21,20.0,Code 8,Permanent,Gauteng,2.98
D00094,Nandi Mthembu,51,9.0,Code 8,Permanent,North West,3.78
D00095,Mandla Mahlangu,60,16.0,Code 10,Permanent,North West,2.76
D00096,Lerato Sithole,49,21.0,Code 14,Permanent,KwaZulu-Natal,3.89
D00097,Lwazi Modise,47,15.0,Code 8,Contract,Northern Cape,3.71
D00098,Sipho Modise,57,12.0,Code 8,Contract,Gauteng,2.06
D00099,Lwazi Mkhize,63,12.0,Code 10,Permanent,Western Cape,3.43
D00100,Mandla Modise,58,18.0,Code 10,Contract,Eastern Cape,4.13
D00101,Nandi Ngcobo,31,1.0,Code 10,Permanent,KwaZulu-Natal,3.06
D00102,Amanda Sithole,45,30.0,Code 14,Contract,Western Cape,4.16
D00103,Zanele Van Wyk,57,3.0,Code 8,Contract,North West,4.1
D00104,Busisiwe Jacobs,33,30.0,Code 8,Permanent,Northern Cape,3.09
D00105,Zanele Mabena,50,1.0,Code 10,Permanent,KwaZulu-Natal,3.79
D00106,Mpho Ngcobo,22,15.0,Code 8,Contract,KwaZulu-Natal,4.38
D00107,Tshepo Jacobs,59,12.0,Code 10,Permanent,Mpumalanga,3.19
D00108,Mandla Williams,48,17.0,Code 14,Permanent,Northern Cape,3.66
D00109,Mpho Cele,53,13.0,Code 8,Permanent,KwaZulu-Natal,4.61
D00110,Tshepo Dlamini,57,27.0,Code 10,Permanent,Mpumalanga,3.2
D00111,Mpho Mthembu,30,0.0,Code 8,Permanent,Western Cape,4.12
D00112,Kagiso Khumalo,40,30.0,Code 10,Permanent,Limpopo,3.04
D00113,Tshepo Cele,58,21.0,Code 10,Contract,Northern Cape,3.69
D00114,Sibusiso Naidoo,28,24.0,Code 10,Permanent,Free State,4.11
D00115,Kagiso Botha,57,4.0,Code 8,Permanent,Limpopo,2.12
D00116,Mpho Molefe,33,2.0,Code 14,Permanent,Mpumalanga,3.43
D00117,Lerato Williams,46,12.0,Code 14,Permanent,Limpopo,4.1
D00118,Lerato Pillay,43,10.0,Code 14,Permanent,Mpumalanga,3.96
D00119,Sibusiso Ndlovu,51,24.0,Code 14,Permanent,North West,3.43
D00120,Amanda Mahlangu,57,27.0,Code 8,Permanent,Western Cape,3.03
D00121,Sipho Zulu,36,13.0,Code 10,Permanent,North West,4.24
D00122,Zanele Maseko,28,23.0,Code 8,Permanent,Northern Cape,3.57
D00123,Kagiso Modise,39,1.0,Code 14,Permanent,Northern Cape,4.18
D00124,Ayanda Botha,47,23.0,Code 8,Contract,Eastern Cape,4.07
D00125,Kagiso Mabena,54,3.0,Code 8,Permanent,Limpopo,3.49
D00126,Lwazi Cele,54,20.0,Code 10,Contract,Eastern Cape,4.55
D00127,Karabo Zulu,35,11.0,Code 8,Permanent,North West,3.38
D00128,Precious Williams,62,12.0,Code 10,Permanent,Eastern Cape,4.63
D00129,Bongani Mthembu,24,8.0,Code 8,Permanent,KwaZulu-Natal,4.72
D00130,Nomsa Nkosi,26,12.0,Code 10,Permanent,Mpumalanga,4.54
D00131,Zanele Khumalo,22,27.0,Code 14,Permanent,Western Cape,3.67
D00132,Siyabonga Cele,61,25.0,Code 10,Contract,Eastern Cape,5.0
D00133,Thabo Zulu,28,10.0,Code 8,Contract,Gauteng,3.91
D00134,Tshepo Mokoena,47,9.0,Code 8,Permanent,Eastern Cape,3.97
D00135,Zanele Sithole,56,15.0,Code 8,Contract,Free State,3.78
D00136,Kagiso Van Wyk,54,21.0,Code 8,Permanent,Western Cape,3.01
D00137,Busisiwe Mkhize,62,5.0,Code 10,Permanent,North West,4.71
D00138,Sibusiso Botha,23,22.0,Code 8,Contract,Eastern Cape,3.4
D00139,Lwazi Maseko,38,29.0,Code 8,Permanent,Eastern Cape,4.44
D00140,Themba Maseko,43,26.0,Code 8,Permanent,Gauteng,4.61
D00141,Sipho Mahlangu,51,16.0,Code 14,Permanent,Northern Cape,4.22
D00142,Precious Maseko,48,9.0,Code 8,Permanent,North West,3.32
D00143,Lerato Maseko,45,,Code 8,Permanent,Free State,3.56
D00144,Themba Moyo,34,22.0,Code 10,Permanent,Eastern Cape,1.93
D00145,Themba Mahlangu,25,14.0,Code 8,Permanent,Free State,3.72
D00146,Lerato Molefe,39,3.0,Code 14,Contract,Northern Cape,4.36
D00147,Tshepo Naidoo,32,21.0,Code 8,Contract,Gauteng,3.63
D00148,Sibusiso Modise,45,4.0,Code 10,Permanent,Mpumalanga,3.39
D00149,Tshepo Maseko,56,30.0,Code 10,Permanent,Northern Cape,3.59
D00150,Thabo Mkhize,45,12.0,Code 14,Permanent,Mpumalanga,4.65
D00151,Nomsa Khumalo,46,10.0,Code 10,Permanent,North West,3.76
D00152,Zanele Ngcobo,22,1.0,Code 14,Permanent,Northern Cape,5.0
D00153,Nomsa Adams,49,5.0,Code 10,Permanent,Western Cape,3.4
D00154,Lwazi Mkhize,40,29.0,Code 10,Contract,KwaZulu-Natal,3.95
D00155,Busisiwe Mahlangu,26,16.0,Code 10,Permanent,Gauteng,3.5
D00156,Sipho Mahlangu,30,27.0,Code 10,Permanent,Limpopo,5.0
D00157,Busisiwe Ndlovu,55,29.0,Code 10,Permanent,Eastern Cape,3.93
